FILA;IP;WIS/CONF;STATUS;LOCAL;DATA E HORA
IMP_2650_CONF_ETQ_01;10.60.229.21;1;EM USO;EXPEDICAO;
IMP_2650_CONF_ETQ_02;10.60.229.22;2;EM USO;EXPEDICAO;
IMP_2650_CONF_ETQ_03;10.60.229.23;3;EM USO;EXPEDICAO/COFRE;
IMP_2650_CONF_ETQ_04;10.60.229.24;4;EM USO;BACKUP/EXPEDICAO;
IMP_2650_CONF_ETQ_05;10.60.229.25;5;EM USO;EXPEDICAO/CURRIER;
IMP_2650_CONF_ETQ_06;10.60.229.26;6;EM USO;BACKUP/EXPEDICAO;
IMP_2650_CONF_ETQ_07;10.60.229.27;7;EM USO;BACKUP/EXPEDICAO;
IMP_2650_CONF_ETQ_08;10.60.229.28;8;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_09;10.60.229.29;9;ESTOQUE;EXPEDICAO;
IMP_2650_CONF_ETQ_10;10.60.229.30;10;EM USO;EXPEDICAO/CURRIER;
IMP_2650_CONF_ETQ_11;10.60.229.31;11;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_12;10.60.229.32;12;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_13;10.60.229.33;13;EM USO;EXPEDICAO;
IMP_2650_CONF_ETQ_14;10.60.229.34;14;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_15;10.60.229.35;15;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_16;10.60.229.36;16;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_17;10.60.229.37;17;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_18;10.60.229.38;18;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_19;10.60.229.39;19;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_20;10.60.229.40;20;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_21;10.60.229.41;21;SEM USO;EXPEDICAO;
IMP_2650_CONF_ETQ_22;10.60.229.42;22;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_23;10.60.229.43;23;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_24;10.60.229.44;24;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_25;10.60.229.45;25;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_26;10.60.229.46;26;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_27;10.60.229.47;27;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_28;10.60.229.48;28;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_29;10.60.229.49;29;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_30;10.60.229.50;30;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_31;10.60.229.51;31;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_32;10.60.229.52;32;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_33;10.60.229.53;33;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_34;10.60.229.54;34;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_35;10.60.229.55;35;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_36;10.60.229.56;36;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_37;10.60.229.57;37;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_38;10.60.229.58;38;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_39;10.60.229.59;39;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_40;10.60.229.60;40;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_41;10.60.229.61;41;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_42;10.60.229.62;42;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_43;10.60.229.63;43;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_44;10.60.229.64;44;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_45;10.60.229.65;45;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_46;10.60.229.66;46;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_47;10.60.229.67;47;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_48;10.60.229.68;48;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_49;10.60.229.69;49;LIVRE;ESTOQUE;
IMP_2650_CONF_ETQ_50;10.60.229.70;50;LIVRE;ESTOQUE;
